Element ,bubble sort,insertion sort,selection sort,quicksort,merge sort
7440,58589465,5919284,15522890,427187,733281
7460,59171659,5950239,15336386,436822,731199
7480,58697738,5966079,15560641,431854,744002
7500,60870700,5962997,15503117,446971,733955
7520,60950125,6025124,15556305,437288,738015
7540,59381082,5997919,16573888,440151,739816
7560,60517178,6164521,15726647,447623,740824
7580,60795721,6150206,15838562,443080,787860
7600,61298732,6147218,16039211,443444,749132
7620,61307615,6149949,16309977,456882,747306
7640,61828482,6143895,17498911,448579,749193
7660,62200085,6410700,16150208,451686,749530
7680,62257310,6262400,16425259,452160,750418
7700,62412514,6305356,17195117,448398,751923
7720,63545788,6338193,16901427,451494,758370
7740,64140970,6429110,16521783,454565,762193
7760,63660464,6398304,16755592,454464,763367
7780,63933187,6350723,17234399,454149,763010
7800,64909426,6476669,16716833,456841,767640
7820,65433525,6580277,16797584,460784,770264
7840,65912097,6567507,17564577,465797,1486564
7860,66271118,6511965,17270437,464542,777707
7880,65526401,6554109,17168838,462666,782097
7900,67550361,6587734,17185528,470433,781588
7920,68072407,6711353,17791511,455006,781951
7940,66856945,6646351,17898719,508540,783253
7960,66562290,6737896,17583983,464879,785570
7980,68260598,6808249,17467895,461994,835308
8000,67861410,6825933,18170319,462157,788857
8020,68476141,6934460,17821757,476801,796475
8040,73942647,7313049,19030409,472843,797065
8060,74194817,7358913,19441584,479464,1087759
8080,70345821,6842883,18612242,474296,800884
8100,70371844,7011092,18328132,479880,803865
8120,71620438,7439723,20029553,482327,805450
8140,75500890,7670089,19745113,484438,878094
8160,76140765,7120765,19195805,573670,905447
8180,72871586,7822992,20038939,909891,857685
8200,75726661,7172153,18977882,518928,808281
8220,73860363,7221719,20248639,474723,813720
8240,76240319,7661340,19109858,486156,1277806
8260,74076963,7318864,19835045,509688,820654
8280,75737186,7565208,19095852,492040,823387
8300,74010019,7684681,19024072,492154,840563
8320,74047721,7677159,19631191,489993,826541
8340,74810025,7491687,19365525,485549,825987
8360,76076509,7468329,19288207,506568,832168
8380,75781496,7368519,19258440,500987,834420
8400,75605601,7473849,19540323,495408,839355
8420,76218076,7530587,19440077,496671,836169
8440,76436137,7378726,19607973,595094,889636
8460,76199386,7665199,19834310,503693,840591
8480,77522543,7543906,20004807,503830,843792
8500,77371738,7703749,20047633,489617,847112
8520,77732151,7899360,19911293,502992,842408
8540,78236190,7839327,20009862,517015,855391
8560,77927126,7721184,20970602,509508,854989
8580,79277748,7759130,21487270,506549,853229
8600,78748734,7969691,21294836,511928,859240
8620,79701648,8014774,20474440,514603,855005
8640,80112176,7985315,20803958,520502,855722
8660,81124711,7883172,21532488,514008,869556
8680,81826991,7993481,21221771,517717,862902
8700,81356065,8046147,20997138,518042,871084
8720,81714411,8055637,21104938,517257,864638
8740,82828583,8048777,20931537,512412,868740
8760,81554171,8078040,21588611,525562,1616507
8780,81893710,8236805,21364693,514800,876011
8800,84210478,8133202,21817803,521530,876306
8820,83828085,8002464,22049628,517517,880154
8840,84477953,8299322,22328819,524384,883546
8860,84391871,8351401,21519206,513716,880035
8880,84150938,8332285,21582750,598027,1166752
8900,86007519,8425508,21930871,522326,888050
8920,85859906,8422609,21772893,528772,892609
8940,87177934,8411168,22110359,537522,892182
8960,86397265,8719971,22014786,531449,897512
8980,87039327,8560880,22384867,527702,900322
9000,87298171,8605044,22389343,536144,898521
9020,88039126,8649867,22476337,538467,900531
9040,86946885,8655329,23179251,538707,906349
9060,90014916,8782356,22630516,547223,903381
9080,89168253,8756394,23687792,634832,965337
9100,89677815,9172092,23062350,547776,908302
9120,90422933,8871159,22857954,564210,915003
9140,90746942,8833761,23202071,548594,908572
9160,92113707,8956112,23012688,545072,912614
9180,90106579,8874624,23129114,557524,909393
9200,91337920,8992638,23861914,550578,912530
9220,92065677,8975964,23281654,550142,913985
9240,90328566,8912201,23862199,544508,919344
9260,91954155,9096969,23519076,556267,929482
9280,93131348,9140525,24541151,548893,926070
9300,92811054,9153243,24022636,546376,930640
9320,93720889,9126487,24456611,546744,929281
9340,94204911,9335162,23885522,556677,931977
9360,94223360,9213056,24043218,558471,935290
9380,95626615,9376282,24537170,589925,941826
9400,95113830,9305341,24314005,574367,937922
9420,95242674,9234232,24987744,562958,941692
9440,96095546,9440947,24383806,564554,979234
9460,96558442,9529972,24863851,563135,944768
9480,97448178,9387204,24568136,588339,947720
9500,97125216,9454245,25705187,558237,945443
9520,97582667,9613379,25596004,563238,951150
9540,98503248,9745464,25759242,578415,953378
9560,99307849,9759374,25783857,569876,1046746
9580,99905616,9705196,26061153,563147,955208
9600,100114752,9683499,25574469,578302,957688
9620,100428612,9847981,25906074,578703,962378
9640,101563671,9963056,26156111,611504,960227
9660,100929660,9935768,26035138,578803,977134
9680,100580381,9945340,25614367,576502,968232
9700,101375708,9999804,26375208,580474,972218
9720,100713488,9887146,26465656,591581,969251
9740,102699953,10507929,27062437,582225,967172
9760,103294831,10119632,27171129,586162,994816
9780,106949188,10188458,26369988,609321,972226
9800,104114377,10108305,26406401,584769,975151
9820,104242089,10324555,26631686,584072,978699
9840,104212286,10253564,26524969,593140,982034
9860,106136365,10390952,26920445,599941,985854
9880,106748117,10247285,26664257,618194,1000223
9900,106005931,10292327,26824907,644230,1017087
9920,106569988,10331210,28024628,590351,987967
9940,107134836,10427360,27662385,596999,992187
9960,107696390,10714483,27483783,603435,1059568
9980,108487631,10579071,27799393,597941,992605
10000,109887422,10629161,28280057,603933,998460
10020,108685135,10635395,27909169,618939,1005271
10040,108962248,10682521,28146915,588442,1013893
10060,110483818,10692278,27736861,605170,1008720
10080,110272253,10648768,27788042,597501,1009085
10100,111013836,10762160,28208922,622567,1006036
10120,111046836,10816959,28405889,605745,1005081
10140,111505769,10823089,28159031,606483,1012459
10160,112312752,10986546,28268532,609401,1012934
10180,113383676,10973204,28903757,610894,1014104
10200,113472642,10898213,28421056,616893,1018069
10220,113922801,11025264,29047912,615666,1019211
10240,113521151,11079485,28881675,617130,1015788
10260,113782177,11256222,29015449,618490,1022201
10280,114018880,11268049,29054987,610083,1026069
10300,115669060,11187726,29038302,609443,1778324
10320,115065268,11323269,29526406,626504,1029780
10340,115927361,11431245,29162957,621839,1035654
10360,116537819,11353637,29394558,629067,1035570
10380,116426972,11436881,29434124,617269,1033467
10400,117176659,11509801,30462211,657470,1038307
10420,118244609,11471288,30358431,627781,1046012
10440,118488510,11443004,29748352,658970,1051444
10460,117047870,11655995,29889401,625200,1050106
10480,119245851,11541077,30291339,643875,1053680
10500,119563041,11694277,31132260,637471,1073451
10520,119712558,12487181,37658196,632915,1074780
